MACHINE MODEL,CONSUMABLE,ITEM CODE
C450,TONER,TONER BLACK (TN310K)
,,TONER MAGENTA (TN310M)
,,TONER YELLOW (TN310Y)
,,TONER CYAN (TN310C)
,IMAGING UNIT,INMAGING UNIT BLACK (IU310K)
,,IMAGING UNIT MAGENTA (IU310M)
,,IMAGING UNIT YELLOW (IU310Y)
,,IMAGING UNIT CYAN (IU310C)
,TRANSFER BELT,TRANSFER BELT
,FUSING UNIT,FUSING UNIT
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER ROLLER,TRANSFER ROLLER
C451 / C550,TONER,TONER BLACK
,,TONER MAGENTA
,,TONER YELLOW
,,TONER CYAN
,IMAGING UNIT,IMAGING UNIT BLACK
,,IMAGING UNIT MAGENTA
,,IMAGING UNIT YELLOW
,,IMAGING UNIT CYAN
,WASTE TONER BOX,WASTE TONER BOX
,IMAGE TRANSFER BELT UNIT,IMAGE TRANSFER BELT UNIT
,FUSING UNIT,FUSING UNIT
,TRANSFER ROLLER UNIT,TRANSFER ROLLER UNIT
,COLOR TONER FILTER,COLOR TONER FILTER
C454 / C454E / C554 / C554E,TONER,TONER BLACK (TN512K)
,,TONER YELLOW (TN512Y)
,,TONER MAGENTA (TN512M)
,,TONER CYAN (TN512C)
,DEVELOPING UNIT,DEVELOPING UNIT BLACK (DV512K)
,,DEVELOPING UNIT CYAN (DV512C)
,,DEVELOPING UNIT MAGENTA (DV512M)
,,DEVELOPING UNIT YELLOW (DV512Y)
,DRUM,DRUM BLACK (DR512K)
,,DRUM CMY (DR512)
,WASTE TONER BOX,WASTE TONER BOX
,INTERMEDIATE IMAGE TRANSFER KIT/TRANSFER BELT,INTERMEDIATE IMAGE TRANSFER KIT/TRANSFER BELT
,FUSING UNIT,FUSING UNIT
C552 / C652,TONER,TONER C652/C552 BLACK (TN613K)
,,TONER MAGENTA (TN613M)
,,TONER YELLOW (TN613Y)
,,TONER CYAN (TN613C)
,DRUM CARTRIDGE ,DRUM CARTRIDGE BLACK (DR612K)
,DEVELOPING UNIT BLACK (DV612K),DEVELOPING UNIT BLACK (DV612K)
,IMAGING UNIT,IMAGING UNIT MAGENTA (IU612M)
,,IMAGING UNIT YELLOW (IU612Y)
,,IMAGING UNIT CYAN (IU612C)
,,WASTE TONER BOX
,OZONE FILTER,OZONE FILTER
,TRANSFER BELT,TRANSFER BELT UNIT
,TRANSFER ROLLER UNIT,TRANSFER ROLLER UNIT
,TONER FILTER,TONER FILTER
,FUSING UNIT,FUSING UNIT
C6500,TONER,BIZHUB C6500 TONER BLACK (TN610K)
,,BIZHUB C6500 TONER MAGENTA (TN610M)
,,BIZHUB C6500 TONER YELLOW (TN610Y)
,,BIZHUB C6500 TONER CYAN (TN610C)
,DRUM,DRUM BLACK (DR610)
,,DRUM YELLOW (DR610)
,,DRUM MAGENTA (DR610)
,,DRUM CYAN (DR610)
,DEVELOPER,DEVELOPER BLACK (DV610K)
,,DEVELOPER YELLOW (DV610Y)
,,DEVELOPER MAGENTA (DV610M)
,,DEVELOPER CYAN (DV610C)
C6501,TONER,TONER BLACK C6501 (TN612K)
,,TONER MAGENTA C6501 (TN612M)
,,TONER YELLOW C6501 (TN612Y)
,,TONER CYAN C6501 (TN612C)
