MACHINE MODEL,Consumable,ITEM Code
BH164 / BH185 / BH185e,TONER,TONER BH164/BH184/185 (TN116)
,DEVELOPER,DEVELOPER (DV116)
,DRUM,DRUM (DR114)
BH195 / BH215 / BH206 / BH226 / BH205i / BH207i,TONER,TONER BIZHUB 215/195/206/205i (TN118)
,DEVELOPER,DEVELOPER (DV116)
,DRUM,DRUM (DR114)
,TRANSFER ROLLER,TRANSFER ROLLER ASSY
,FUSING UNIT,FUSING UNIT
BH3320,TONER,TONER (TN941)
,IMAGING UNIT,IMAGING UNIT (IUP19)
BH4020,TONER,TONER BLACK BH4020 (TNP40)
,IMAGING UNIT,IMAGING UNIT (IUP18)
BH454E / BH554E,TONER,TONER  BLACK (TN323)
,DEVELOPER,DEVELOPING UNIT (DV312)
,DRUM,DRUM UNIT (DR312)
,OZONE FILTER,OZONE FILTER (FOR BH367)
,,OZONE FILTER (FOR BH287)
,TONER FILTER,TONER FILTER
,WASTE TONER BOX,WASTE TONER BOX
,FUSING UNIT,FUSING UNIT
,TRANSFER ROLLER,TRANSFER ROLLER UNIT
BH458e / BH558e / BH658e,TONER,TONER BLACK (TN516)
,DEVELOPER,DEVELOPER  (DV619K)
,DRUM,DRUM (DR314K)
,TRANSFER BELT,Intermediate Image Transfer Unit  
,TONER FILTER,TONER FILTER
BH4050 / BH4070,TONER,TONER BLACK BH4050/4750 (TN46)          
,IMAGING UNIT,IMAGING UNIT (IUP21)
BH458 / BH558,TONER,TONER BLACK 558 (TN515)
,DEVELOPER,DEVELOPER (DV619K)
,DRUM,DRUM (DR313K)
BH364E / BH284E / BH224E,TONER,TONER BH364E/284E/224E (TN322)
,DEVELOPER,DEVELOPER (DV512K)
,DRUM,DRUM (DR512K)
BH306i,TONER,TONER BLACK (TN225)
,DEVELOPER,DEVELOPER (DV116)
,DRUM,DRUM (DR317)
BH450i / BH550i / BH650i / BH451i / BH651i ,TONER,TONER BLACK (TN628K)
,DEVELOPER,DEVELOPER (DV621K)
,DRUM,DRUM (DR618K)
,TONER FILTER,Toner Filter/K
,WASTE TONER BOX,Waste Toner Box
,TRANSFER ROLLER,2nd Image Transfer Roller Assy
,TRANSFER BELT,Intermediate Image Transfer Unit
,FUSING UNIT,Fusing Unit Assy (230V)
BH654e / BH754e / BH654 / BH754,TONER,TONER BLACK (TN712K)
,DEVELOPER,DEVELOPER (DV711K)
,DRUM,DRUM (DR711K)
,OZONE FILTER,OZONE FILTER
,TONER FILTER,TONER FILTER
,WASTE TONER BOX,WASTE TONER BOX
,FUSING UNIT,FUSING UNIT
,TRANSFER BELT,TRANSFER BELT
BH4052 / BH4752,TONER,TONER BLACK (TNP63)
,IMAGING UNIT,IMAGING UNIT (IUP32)
BH4702P,TONER,TONER BLACK (TNP53)
,IMAGING UNIT,IMAGING UNIT (IUP25)
BH4750i / BH4050i,TONER,TONER BLACK (TNP90)
,IMAGING UNIT,IMAGING UNIT
BH3300P,TONER,TONER BLACK B3300 (TNP39)
,IMAGING UNIT,IMAGING UNIT (IUP16)
,,IMAGING UNIT  (IUP17)
BH4000P,TONER,TONER BLACK BH4000 (TNP38)
,IMAGING UNIT,IMAGING UNIT (IUP16)
,,IMAGING UNIT  (IUP17)
BH 4700P,TONER,TONER BLACK BH4700 (TNP37)
,IMAGING UNIT,IMAGING UNIT (IUP16)
,,IMAGING UNIT  (IUP17)
BH 4700i,TONER,Toner cartridge (TNP91)
,IMAGING UNIT,Imaging uint (IUP36K)
BH750i,TONER,TONER TN714
,DEVELOPER,DEVELOPER DV621K
,DRUM,DRUM DR618K
BH3602P,TONER,TONER
,IMAGING UNIT,IMAGING UNIT
BH4402P,TONER,TONER
,IMAGING UNIT,IMAGING UNIT
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
